gbifID,verbatimScientificName,decimalLatitude,decimalLongitude,populationDensity

2839226126,Capreolus capreolus,46.18271,6.016942,330.9624

2839200871,Capreolus capreolus,46.181212,6.016595,365.724

2839199471,Capreolus capreolus,46.178905,6.009192,365.724

2839148328,Capreolus capreolus,46.179027,6.014812,365.724

2839143673,Sus scrofa,46.180921,6.016042,365.724

2839134824,Lepus europaeus,46.18699,6.0705,849.2642

2839133992,Capreolus capreolus,46.179342,6.014774,365.724

2839133385,Capreolus capreolus,46.1808,6.016358,365.724

2839127423,Cervus elaphus,46.304725,6.140488,1550.767

2839112861,Capreolus capreolus,46.180772,6.016411,365.724

2839112088,Sciurus vulgaris,46.182835,6.016951,330.9624

2839096056,Capreolus capreolus,46.182656,6.016818,330.9624

2839078588,Capreolus capreolus,46.182678,6.017036,330.9624

2839000962,Capreolus capreolus,46.182705,6.016704,330.9624

2838989080,Capreolus capreolus,46.178967,6.014843,365.724

2838986069,Mustela erminea,46.681714,7.821236,428.0227

2838954879,Capreolus capreolus,46.182544,6.016823,330.9624

2838950094,Capreolus capreolus,46.179014,6.014857,365.724

2838946629,Capreolus capreolus,46.18255,6.016831,330.9624

2838943012,Capreolus capreolus,46.182656,6.016818,330.9624

2838930149,Capreolus capreolus,46.182685,6.016928,330.9624

2838925000,Capreolus capreolus,46.182587,6.017162,330.9624

2838920184,Capreolus capreolus,46.182563,6.016816,330.9624

2838888242,Capreolus capreolus,46.177798,6.011296,365.724

2838886151,Capreolus capreolus,46.182593,6.0169,330.9624

2838880974,Capreolus capreolus,46.182464,6.016914,330.9624

2838211793,Capreolus capreolus,46.177754,6.011329,365.724

2838110195,Capreolus capreolus,46.180775,6.016377,365.724

2838084790,Mustela erminea,47.082613,8.296013,1561.835

2837725052,Capreolus capreolus,46.180767,6.016385,365.724

2836824446,Capreolus capreolus,46.868087,7.236727,324.7187

2836791206,Erinaceus europaeus,46.854336,7.246598,332.5677

2836379991,Capreolus capreolus,46.18063,6.016131,365.724

2836352329,Capreolus capreolus,46.190082,6.074163,849.2642

2836278938,Capreolus capreolus,46.17898,6.014863,365.724

2836278721,Capreolus capreolus,46.177746,6.011357,365.724

2836272952,Capreolus capreolus,46.179153,6.01471,365.724

2836239625,Capreolus capreolus,46.177759,6.011318,365.724

2836229670,Capreolus capreolus,46.179063,6.014835,365.724

2836223737,Capreolus capreolus,46.182687,6.016839,330.9624

2836154161,Capreolus capreolus,46.17713,6.012083,365.724

2836153627,Sciurus vulgaris,46.178612,6.010731,365.724

2836148814,Capreolus capreolus,46.182792,6.016884,330.9624

2836145576,Capreolus capreolus,46.180665,6.016532,365.724

2836135896,Capreolus capreolus,46.182552,6.017051,330.9624

2836135434,Capreolus capreolus,46.179058,6.014634,365.724

2836129997,Capreolus capreolus,46.178959,6.014759,365.724

2836121176,Capreolus capreolus,46.18063,6.016131,365.724

2836120709,Sciurus vulgaris,46.180702,6.016309,365.724

2836105182,Capreolus capreolus,46.179201,6.014772,365.724

2836100061,Sciurus vulgaris,46.180712,6.016718,330.9624

2836092996,Sciurus vulgaris,46.181749,6.016218,365.724

2836092773,Sciurus vulgaris,46.180977,6.016691,330.9624

2836079754,Sciurus vulgaris,46.17923,6.01509,365.724

2836059788,Capreolus capreolus,46.17769,6.011277,365.724

2836050080,Capreolus capreolus,46.179325,6.014678,365.724

2836046375,Sciurus vulgaris,46.17893,6.00773,365.7241

2836013790,Capreolus capreolus,46.177828,6.011375,365.724

2836008022,Capreolus capreolus,46.17899,6.014781,365.724

2836002833,Sciurus vulgaris,46.17794,6.011273,365.724

2836002705,Sus scrofa,46.177703,6.011304,365.724

2835996773,Capreolus capreolus,46.179026,6.014811,365.724

2835990960,Capreolus capreolus,46.182705,6.016704,330.9624

2835980770,Capreolus capreolus,46.177687,6.011359,365.724

2835975451,Capreolus capreolus,46.179044,6.014795,365.724

2835975236,Capreolus capreolus,46.17898,6.014954,365.724

2835967186,Capreolus capreolus,46.179055,6.014913,365.724

2835961999,Capreolus capreolus,46.180764,6.016927,330.9624

2835959345,Capreolus capreolus,46.178905,6.009192,365.724

2835942122,Sciurus vulgaris,46.1794,6.008953,365.724

2835939246,Sciurus vulgaris,46.180749,6.016301,365.724

2835938920,Sciurus vulgaris,46.182223,6.018266,330.9624

2835914167,Capreolus capreolus,46.177737,6.011385,365.724

2835913307,Capreolus capreolus,46.178979,6.014824,365.724

2835907435,Sciurus vulgaris,46.179055,6.015041,365.724

2835863096,Capreolus capreolus,46.182558,6.016906,330.9624

2835854844,Capreolus capreolus,46.177754,6.011329,365.724

2835847584,Capreolus capreolus,46.180819,6.016416,365.724

2835846954,Capreolus capreolus,46.182666,6.016871,330.9624

2835846252,Capreolus capreolus,46.180718,6.016385,365.724

2835821140,Capreolus capreolus,46.180775,6.016377,365.724

2835818827,Sus scrofa,46.177695,6.011317,365.724

2835817254,Capreolus capreolus,46.182563,6.016816,330.9624

2835809180,Capreolus capreolus,46.177705,6.011412,365.724

2835799048,Sciurus vulgaris,46.18257,6.01702,330.9624

2835794530,Capreolus capreolus,46.180799,6.016407,365.724

2835793227,Capreolus capreolus,46.179027,6.014812,365.724

2835791938,Capreolus capreolus,46.17903,6.014859,365.724

2835775305,Capreolus capreolus,46.182669,6.016868,330.9624

2835771754,Cervus elaphus,46.304761,6.140532,1550.767

2835762266,Lepus europaeus,46.18013,5.997703,345.7236

2835762086,Capreolus capreolus,46.178907,6.014812,365.724

2835756378,Cervus elaphus,46.304722,6.140486,1550.767

2835738364,Capreolus capreolus,46.1808,6.016358,365.724

2835727709,Capreolus capreolus,46.177731,6.011331,365.724

2835715748,Capreolus capreolus,46.18082,6.016399,365.724

2835694537,Capreolus capreolus,46.180742,6.016488,365.724

2835675811,Capreolus capreolus,46.178697,6.014946,365.724

2835653966,Capreolus capreolus,46.182612,6.016861,330.9624

2835647771,Sciurus vulgaris,46.169169,6.143542,1271.035

2835641970,Capreolus capreolus,46.182587,6.017162,330.9624

2835607956,Capreolus capreolus,46.182552,6.017051,330.9624

2835600830,Capreolus capreolus,46.180764,6.016373,365.724

2835577880,Capreolus capreolus,46.182722,6.016883,330.9624

2835553958,Sciurus vulgaris,46.177766,6.011331,365.724

2835514835,Capreolus capreolus,46.182637,6.016872,330.9624

2835491668,Sciurus vulgaris,46.233808,7.339987,1314.269

2835004757,Capreolus capreolus,46.177687,6.011286,365.724

2834835678,Sciurus vulgaris,46.179325,6.007524,365.7241

2834813928,Capreolus capreolus,46.180857,6.016786,330.9624

2834813769,Capreolus capreolus,46.179158,6.014518,365.724

2833827922,Capreolus capreolus,46.868926,7.23412,324.7187

2833771743,Erinaceus europaeus,46.847534,7.250557,332.5677

2833736157,Capreolus capreolus,46.850173,7.265311,331.1362

2833248777,Erinaceus europaeus,47.194439,8.415785,536.1649

2833189142,Mustela erminea,46.888,7.2616,355.5527

2832796706,Capreolus capreolus,46.179026,6.014811,365.724

2832796638,Capreolus capreolus,46.178989,6.014803,365.724

2832794788,Capreolus capreolus,46.177738,6.011336,365.724

2832794382,Sus scrofa,46.183255,6.017884,330.9624

